IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150110632,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,08:00,BAYVIEW,NONE,800 Block of GIRARD ST,-122.402390932043,37.7218958376193,"(37.7218958376193, -122.402390932043)",15011063207021
150110961,VEHICLE THEFT,STOLEN TRUCK,Wednesday,02/04/2015,21:00,NORTHERN,NONE,2700 Block of PIERCE ST,-122.438430433699,37.7952917573674,"(37.7952917573674, -122.438430433699)",15011096107025
150111000,VEHICLE THEFT,STOLEN MISCELLANEOUS VEHICLE,Monday,02/02/2015,15:00,TARAVAL,NONE,0 Block of CAMBON DR,-122.474444639595,37.718302204766,"(37.718302204766, -122.474444639595)",15011100007026
150112519,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,07:55,MISSION,NONE,15TH ST / POTRERO AV,-122.407685897302,37.7670824029841,"(37.7670824029841, -122.407685897302)",15011251907021
150112729,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,02/05/2015,19:30,NORTHERN,NONE,1600 Block of VANNESS AV,-122.422595167172,37.7908192261207,"(37.7908192261207, -122.422595167172)",15011272907023
150112848,VEHICLE THEFT,STOLEN TRUCK,Thursday,02/05/2015,20:30,SOUTHERN,NONE,400 Block of THE EMBARCADEROSOUTH ST,-122.39670853026,37.7978728855933,"(37.7978728855933, -122.39670853026)",15011284807025
150112876,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,02/05/2015,19:45,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282,"(37.7657184395282, -122.409529913278)",15011287607023
150112951,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,14:00,TARAVAL,UNFOUNDED,1500 Block of LINCOLN WY,-122.474599398522,37.7656615928831,"(37.7656615928831, -122.474599398522)",15011295107021
150113307,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Friday,02/06/2015,04:40,PARK,"ARREST, BOOKED",FREDERICK ST / WILLARD ST,-122.454594080488,37.7661655561572,"(37.7661655561572, -122.454594080488)",15011330707020
150113357,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,01/21/2015,09:00,TARAVAL,NONE,1200 Block of LA PLAYA ST,-122.509265276857,37.7630727687234,"(37.7630727687234, -122.509265276857)",15011335707021
150113517,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,00:30,BAYVIEW,NONE,PHELPS ST / MCKINNON AV,-122.392967630504,37.7379607056553,"(37.7379607056553, -122.392967630504)",15011351707021
150113589,VEHICLE THEFT,STOLEN TRUCK,Saturday,01/10/2015,13:56,NORTHERN,NONE,500 Block of TURK ST,-122.418192861208,37.7823263368922,"(37.7823263368922, -122.418192861208)",15011358907025
150113636,VEHICLE THEFT,STOLEN TRUCK,Thursday,02/05/2015,19:30,PARK,NONE,PARNASSUS AV / COLE ST,-122.449770936688,37.7648664738135,"(37.7648664738135, -122.449770936688)",15011363607025
150113874,VEHICLE THEFT,STOLEN TRUCK,Wednesday,02/04/2015,22:30,NORTHERN,NONE,1900 Block of LOMBARD ST,-122.433622196421,37.800270294431,"(37.800270294431, -122.433622196421)",15011387407025
150113880,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,21:00,PARK,NONE,800 Block of OAK ST,-122.433314676574,37.7737054374941,"(37.7737054374941, -122.433314676574)",15011388007021
150114010,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,20:00,MISSION,NONE,FLORIDA ST / 23RD ST,-122.410223401131,37.7543423100231,"(37.7543423100231, -122.410223401131)",15011401007021
150114054,VEHICLE THEFT,STOLEN TRUCK,Wednesday,02/04/2015,19:00,INGLESIDE,NONE,600 Block of GENEVA AV,-122.444476948345,37.7194315569181,"(37.7194315569181, -122.444476948345)",15011405407025
150114474,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,13:30,RICHMOND,NONE,7TH AV / CLEMENT ST,-122.465493608312,37.7828890050587,"(37.7828890050587, -122.465493608312)",15011447407021
