IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
030313663,VEHICLE THEFT,STOLEN TRUCK,Saturday,03/15/2003,18:00,TARAVAL,NONE,2900 Block of OCEAN AV,-122.477401116205,37.7326857871602,"(37.7326857871602, -122.477401116205)",3031366307025
030404400,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,04/05/2003,17:00,BAYVIEW,NONE,CAMBRIDGE ST / BURROWS ST,-122.417906409368,37.7252209194339,"(37.7252209194339, -122.417906409368)",3040440007041
030195154,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Sunday,02/16/2003,10:35,TARAVAL,NONE,1800 Block of 38TH AV,-122.496836356475,37.7523884488118,"(37.7523884488118, -122.496836356475)",3019515407046
031422738,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Saturday,12/06/2003,09:35,INGLESIDE,NONE,300 Block of ONEIDA AV,-122.444410444172,37.7224223138834,"(37.7224223138834, -122.444410444172)",3142273807055
030463315,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,04/19/2003,22:00,CENTRAL,"ARREST, BOOKED",STOCKTON ST / SUTTER ST,-122.406958660609,37.7894347629811,"(37.7894347629811, -122.406958660609)",3046331507041
030577295,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,05/10/2003,22:00,NORTHERN,NONE,1500 Block of OFARRELL ST,-122.430610535316,37.7834963710489,"(37.7834963710489, -122.430610535316)",3057729507021
030392485,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,04/03/2003,06:00,SOUTHERN,NONE,TOWNSEND ST / 6TH ST,-122.399436466806,37.7735747121965,"(37.7735747121965, -122.399436466806)",3039248507041
030220212,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/21/2003,16:00,MISSION,NONE,19TH ST / FLORIDA ST,-122.410964638354,37.760428453944,"(37.760428453944, -122.410964638354)",3022021207021
030087078,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Wednesday,01/22/2003,13:05,BAYVIEW,NONE,1600 Block of KIRKWOOD AV,-122.390872523812,37.7387519497438,"(37.7387519497438, -122.390872523812)",3008707807055
030901569,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,07/30/2003,09:30,RICHMOND,NONE,PIERCE ST / SUTTER ST,-122.436558814679,37.7856670021326,"(37.7856670021326, -122.436558814679)",3090156907041
030755140,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,06/23/2003,18:00,INGLESIDE,NONE,2000 Block of ALEMANY BL,-122.439586385205,37.7198910073911,"(37.7198910073911, -122.439586385205)",3075514007021
031487566,VEHICLE THEFT,STOLEN TRUCK,Tuesday,12/23/2003,11:45,INGLESIDE,NONE,1600 Block of ALEMANY BL,-122.436633817346,37.7258258537122,"(37.7258258537122, -122.436633817346)",3148756607025
030493221,VEHICLE THEFT,TAMPERING WITH A VEHICLE,Sunday,04/27/2003,17:00,NORTHERN,NONE,200 Block of LAUSSAT ST,-122.431181214257,37.7714789291664,"(37.7714789291664, -122.431181214257)",3049322107100
030986389,VEHICLE THEFT,STOLEN TRUCK,Wednesday,08/20/2003,06:00,NORTHERN,NONE,100 Block of FERN ST,-122.420983990444,37.7880688472196,"(37.7880688472196, -122.420983990444)",3098638907025
031376953,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,11/23/2003,19:00,INGLESIDE,NONE,200 Block of PUTNAM ST,-122.411123069982,37.7363322364486,"(37.7363322364486, -122.411123069982)",3137695307021
030631926,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,05/23/2003,23:30,PARK,NONE,500 Block of FREDERICK ST,-122.453796674591,37.7663220141725,"(37.7663220141725, -122.453796674591)",3063192607041
030211625,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/20/2003,08:30,INGLESIDE,NONE,BOSWORTH ST / LIPPARD AV,-122.435838640536,37.7338744196986,"(37.7338744196986, -122.435838640536)",3021162507021
031248283,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,10/22/2003,22:30,NORTHERN,NONE,1600 Block of FRANKLIN ST,-122.42381154803,37.789699703888,"(37.789699703888, -122.42381154803)",3124828307021
030447030,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Tuesday,04/15/2003,14:00,NORTHERN,NONE,FULTON ST / STEINER ST,-122.433220475272,37.7774892652398,"(37.7774892652398, -122.433220475272)",3044703007055
031235597,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,10/21/2003,02:30,BAYVIEW,NONE,0 Block of COMMER CT,-122.38499543409,37.7325333188542,"(37.7325333188542, -122.38499543409)",3123559707021
031364174,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Thursday,11/20/2003,19:44,MISSION,NONE,800 Block of CAPP ST,-122.417499429971,37.753084671409,"(37.753084671409, -122.417499429971)",3136417407055
031393167,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,11/27/2003,21:00,PARK,NONE,DELMAR ST / FREDERICK ST,-122.445544530792,37.7673206509429,"(37.7673206509429, -122.445544530792)",3139316707041
030228426,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,02/24/2003,10:40,NORTHERN,NONE,0 Block of VAN NESS AV,-122.419234662317,37.7757784176924,"(37.7757784176924, -122.419234662317)",3022842607046
031102736,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,09/17/2003,17:00,TARAVAL,NONE,MT VERNON AV / LOUISBURG ST,-122.450821379635,37.7193541004218,"(37.7193541004218, -122.450821379635)",3110273607021
031113642,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Saturday,09/20/2003,18:30,SOUTHERN,NONE,CLEMENTINA ST / 9TH ST,-122.412173767291,37.7742011047033,"(37.7742011047033, -122.412173767291)",3111364207020
031410028,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,12/02/2003,02:00,SOUTHERN,NONE,FOLSOM ST / BEALE ST,-122.392727331116,37.7886861744199,"(37.7886861744199, -122.392727331116)",3141002807021
031333862,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,11/13/2003,17:45,MISSION,"ARREST, CITED",17TH ST / SHOTWELL ST,-122.416230392551,37.7636337703031,"(37.7636337703031, -122.416230392551)",3133386213060
031040891,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,08/20/2003,14:00,NORTHERN,NONE,1900 Block of STEINER ST,-122.435220872648,37.7870341291995,"(37.7870341291995, -122.435220872648)",3104089107021
031145184,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,09/27/2003,20:30,MISSION,NONE,ALVARADO ST / CASTRO ST,-122.434317157108,37.7536883616764,"(37.7536883616764, -122.434317157108)",3114518407041
030426341,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,04/11/2003,14:15,TARAVAL,NONE,VIDAL DR / HIGUERA AV,-122.48478021053,37.7184489301088,"(37.7184489301088, -122.48478021053)",3042634107021
030878253,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,07/23/2003,18:00,PARK,NONE,WALLER ST / SCOTT ST,-122.435185326613,37.7705485096146,"(37.7705485096146, -122.435185326613)",3087825307041
030413592,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Tuesday,04/08/2003,10:00,PARK,NONE,14TH ST / NOE ST,-122.433409294235,37.7674598906288,"(37.7674598906288, -122.433409294235)",3041359207055
030629636,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,05/21/2003,00:01,MISSION,NONE,1200 Block of 15TH ST,-122.413034080471,37.7667928554141,"(37.7667928554141, -122.413034080471)",3062963607041
031018036,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Thursday,08/28/2003,12:50,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.7844496612562,"(37.7844496612562, -122.416075285059)",3101803613070
031314709,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,11/08/2003,00:01,TARAVAL,NONE,FONT BL / LAKE MERCED BL,-122.485073656914,37.7239983809291,"(37.7239983809291, -122.485073656914)",3131470907041
030567995,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,05/08/2003,15:10,CENTRAL,NONE,VALLEJO ST / GRANT AV,-122.407208951409,37.7987756652507,"(37.7987756652507, -122.407208951409)",3056799507041
031237844,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,10/20/2003,22:00,BAYVIEW,NONE,700 Block of INNES AV,-122.372926079722,37.7304599610397,"(37.7304599610397, -122.372926079722)",3123784407046
030764505,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,06/25/2003,17:00,BAYVIEW,NONE,3RD ST / KIRKWOOD AV,-122.389588165357,37.737957265373,"(37.737957265373, -122.389588165357)",3076450507021
030396932,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,04/04/2003,18:45,MISSION,"ARREST, CITED",18TH ST / CAPP ST,-122.41827216643,37.7619029613068,"(37.7619029613068, -122.41827216643)",3039693213060
031032246,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,08/30/2003,16:00,BAYVIEW,NONE,BARNEVELD AV / SILVER AV,-122.40657457094,37.7321430775423,"(37.7321430775423, -122.40657457094)",3103224607021
030304424,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Thursday,03/13/2003,22:00,MISSION,"ARREST, BOOKED",18TH ST / HAMPSHIRE ST,-122.4081888748,37.7618771000205,"(37.7618771000205, -122.4081888748)",3030442413070
031425663,VEHICLE THEFT,TAMPERING WITH A VEHICLE,Saturday,12/06/2003,23:30,TARAVAL,NONE,ACEVEDO AV / VIDAL DR,-122.484793260711,37.7198441769576,"(37.7198441769576, -122.484793260711)",3142566307100
030977300,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,08/18/2003,15:40,INGLESIDE,NONE,100 Block of WILDE AV,-122.400599650228,37.7163909470714,"(37.7163909470714, -122.400599650228)",3097730007021
031360116,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/04/2003,03:40,NORTHERN,"ARREST, BOOKED",FILLMORE ST / VALLEJO ST,-122.435115362797,37.7952252533418,"(37.7952252533418, -122.435115362797)",3136011607021
031228069,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,10/18/2003,17:00,MISSION,"ARREST, BOOKED",2300 Block of MISSION ST,-122.419058868103,37.7594227506297,"(37.7594227506297, -122.419058868103)",3122806907041
031021437,VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Thursday,08/28/2003,18:00,NORTHERN,NONE,2100 Block of SACRAMENTO ST,-122.428274924635,37.7905069698436,"(37.7905069698436, -122.428274924635)",3102143707051
031274614,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Thursday,10/30/2003,21:20,NORTHERN,"ARREST, CITED",HEMLOCK ST / LARKIN ST,-122.418368839172,37.7874861572042,"(37.7874861572042, -122.418368839172)",3127461413070
030833702,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,07/12/2003,22:00,CENTRAL,NONE,PACIFIC AV / COLUMBUS AV,-122.405517223284,37.7970642284763,"(37.7970642284763, -122.405517223284)",3083370207021
030936641,VEHICLE THEFT,STOLEN TRUCK,Friday,08/08/2003,02:00,RICHMOND,NONE,MCALLISTER ST / ARGUELLO BL,-122.458435447862,37.7752381220714,"(37.7752381220714, -122.458435447862)",3093664107025
030934764,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,08/05/2003,22:00,TARAVAL,NONE,2100 Block of 27TH AV,-122.484656534419,37.7473134158105,"(37.7473134158105, -122.484656534419)",3093476407021
030491617,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,04/27/2003,00:05,SOUTHERN,NONE,4TH ST / BRYANT ST,-122.398063445402,37.7795658460064,"(37.7795658460064, -122.398063445402)",3049161707021
031178997,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,10/06/2003,09:00,BAYVIEW,NONE,1200 Block of 7TH ST,-122.397079560285,37.7680870083293,"(37.7680870083293, -122.397079560285)",3117899707041
030138154,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,02/02/2003,23:00,CENTRAL,NONE,CLAY ST / TAYLOR ST,-122.412831700663,37.7934325179542,"(37.7934325179542, -122.412831700663)",3013815407023
031507095,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,12/30/2003,03:53,TARAVAL,NONE,3900 Block of MORAGA ST,-122.505005214005,37.754799628198,"(37.754799628198, -122.505005214005)",3150709507021
030221458,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/21/2003,21:00,NORTHERN,NONE,1800 Block of POLK ST,-122.421250454707,37.7937178972146,"(37.7937178972146, -122.421250454707)",3022145807021
030282347,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,03/09/2003,00:30,SOUTHERN,NONE,3RD ST / STILLMAN ST,-122.396381836892,37.7817492234997,"(37.7817492234997, -122.396381836892)",3028234707041
031376997,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,11/22/2003,09:00,BAYVIEW,NONE,100 Block of BOYLSTON ST,-122.410914876075,37.7317420101607,"(37.7317420101607, -122.410914876075)",3137699707041
031489114,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,12/23/2003,12:00,INGLESIDE,NONE,200 Block of VELASCO AV,-122.414438564316,37.7086245956154,"(37.7086245956154, -122.414438564316)",3148911407021
031301104,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,11/04/2003,22:00,TARAVAL,NONE,1500 Block of 25TH AV,-122.483294616551,37.7585952446282,"(37.7585952446282, -122.483294616551)",3130110407021
030576388,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,05/11/2003,02:00,PARK,NONE,2100 Block of GROVE ST,-122.451993022879,37.774088474589,"(37.774088474589, -122.451993022879)",3057638807021
031505817,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Friday,12/26/2003,17:00,CENTRAL,"ARREST, BOOKED",BROADWAY ST / MONTGOMERY ST,-122.403864541983,37.7982226437198,"(37.7982226437198, -122.403864541983)",3150581707046
031500196,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,12/22/2003,10:00,PARK,NONE,0 Block of BUENA VISTA TER,-122.438216208309,37.7680697954105,"(37.7680697954105, -122.438216208309)",3150019607041
030221072,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Friday,02/21/2003,02:00,PARK,"ARREST, BOOKED",1200 Block of GROVE ST,-122.43718097078,37.7760838211857,"(37.7760838211857, -122.43718097078)",3022107207043
031221320,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Thursday,10/16/2003,23:30,NORTHERN,NONE,1500 Block of FRANCISCO ST,-122.430703168131,37.8025320753619,"(37.8025320753619, -122.430703168131)",3122132007043
031472896,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,12/19/2003,14:00,TENDERLOIN,"ARREST, CITED",OFARRELL ST / LARKIN ST,-122.417903977571,37.7851670875288,"(37.7851670875288, -122.417903977571)",3147289613060
031470652,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,12/17/2003,07:30,BAYVIEW,NONE,900 Block of WOOLSEY ST,-122.410980381356,37.7229894898384,"(37.7229894898384, -122.410980381356)",3147065207021
030190825,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/15/2003,10:00,TARAVAL,NONE,1300 Block of 9TH AV,-122.466175257158,37.7630911994124,"(37.7630911994124, -122.466175257158)",3019082507021
030005763,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,01/02/2003,08:45,NORTHERN,NONE,FULTON ST / OCTAVIA ST,-122.425000578162,37.7785384965829,"(37.7785384965829, -122.425000578162)",3000576307041
030400925,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Saturday,04/05/2003,08:00,PARK,NONE,ELLIS ST / SCOTT ST,-122.437449384082,37.7817270189057,"(37.7817270189057, -122.437449384082)",3040092507046
030879831,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Thursday,07/24/2003,18:26,NORTHERN,"ARREST, BOOKED",1000 Block of POLK ST,-122.419858277339,37.786137125238,"(37.786137125238, -122.419858277339)",3087983107055
031471230,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,12/19/2003,01:00,MISSION,"ARREST, BOOKED",1000 Block of HAMPSHIRE ST,-122.407592726102,37.7552880312075,"(37.7552880312075, -122.407592726102)",3147123007021
031029049,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,08/30/2003,23:30,INGLESIDE,JUVENILE CITED,300 Block of TEDDY AV,-122.409713423413,37.7154007589373,"(37.7154007589373, -122.409713423413)",3102904907021
031121930,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,09/22/2003,10:00,PARK,NONE,0 Block of VASQUEZ AV,-122.457551466196,37.7462599388889,"(37.7462599388889, -122.457551466196)",3112193007041
030217554,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,02/20/2003,21:00,TARAVAL,NONE,1000 Block of QUINTARA ST,-122.476600259255,37.7485674941906,"(37.7485674941906, -122.476600259255)",3021755407041
030665260,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,06/01/2003,22:00,NORTHERN,NONE,100 Block of CERVANTES BL,-122.440701277403,37.8047948691501,"(37.8047948691501, -122.440701277403)",3066526007041
030819542,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,07/09/2003,19:30,PARK,NONE,1900 Block of GEARY BL,-122.436248450213,37.784048423587,"(37.784048423587, -122.436248450213)",3081954207021
031219745,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,10/16/2003,07:30,SOUTHERN,NONE,6TH ST / TOWNSEND ST,-122.399436466806,37.7735747121965,"(37.7735747121965, -122.399436466806)",3121974507041
030764806,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,06/23/2003,21:00,NORTHERN,NONE,1000 Block of EDDY ST,-122.42577891406,37.7823192392643,"(37.7823192392643, -122.42577891406)",3076480607021
030695712,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Friday,06/06/2003,15:49,CENTRAL,NONE,700 Block of BUSH ST,-122.409636357172,37.7901077124214,"(37.7901077124214, -122.409636357172)",3069571207055
030433556,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Friday,04/11/2003,17:00,INGLESIDE,NONE,500 Block of VELASCO AV,-122.417217762603,37.7094061937856,"(37.7094061937856, -122.417217762603)",3043355607046
030126745,VEHICLE THEFT,STOLEN TRUCK,Thursday,01/30/2003,22:45,MISSION,NONE,2800 Block of BRYANT ST,-122.408695677398,37.7489689222795,"(37.7489689222795, -122.408695677398)",3012674507025
030817411,VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,07/08/2003,18:00,MISSION,NONE,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147,"(37.7627436601147, -122.421747650463)",3081741107023
030897695,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Tuesday,07/29/2003,20:40,TENDERLOIN,"ARREST, CITED",OFARRELL ST / HYDE ST,-122.416261836841,37.7853750846147,"(37.7853750846147, -122.416261836841)",3089769513070
030816134,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Tuesday,07/08/2003,22:30,CENTRAL,NONE,900 Block of PINE ST,-122.411638240183,37.7906966141718,"(37.7906966141718, -122.411638240183)",3081613407041
031053286,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,09/04/2003,20:00,MISSION,NONE,300 Block of EUREKA ST,-122.437948424116,37.7566691575703,"(37.7566691575703, -122.437948424116)",3105328607021
031192282,VEHICLE THEFT,STOLEN TRUCK,Thursday,10/09/2003,19:30,SOUTHERN,NONE,NORFOLK ST / HARRISON ST,-122.41275390463,37.7703899652498,"(37.7703899652498, -122.41275390463)",3119228207025
030512570,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Thursday,05/01/2003,21:30,SOUTHERN,NONE,THE EMBARCADERO SOUTH ST / HARRISON ST,-122.388485562428,37.7895727625395,"(37.7895727625395, -122.388485562428)",3051257007046
030426896,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,04/11/2003,07:20,TARAVAL,NONE,200 Block of WINSTON DR,-122.477894327927,37.7271095796299,"(37.7271095796299, -122.477894327927)",3042689607041
031146433,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,09/21/2003,11:00,NORTHERN,NONE,FILBERT ST / BAKER ST,-122.445599300236,37.7967585766338,"(37.7967585766338, -122.445599300236)",3114643307041
030022074,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Monday,01/06/2003,19:30,MISSION,"ARREST, CITED",17TH ST / CAPP ST,-122.418486296582,37.7634954373189,"(37.7634954373189, -122.418486296582)",3002207413060
030880888,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,07/24/2003,20:30,CENTRAL,NONE,800 Block of MONTGOMERY ST,-122.40354422656,37.7969934198176,"(37.7969934198176, -122.40354422656)",3088088807021
030316128,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,03/16/2003,21:00,CENTRAL,UNFOUNDED,800 Block of SANSOME ST,-122.402204951701,37.7979674610453,"(37.7979674610453, -122.402204951701)",3031612807041
031262700,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,10/26/2003,19:00,CENTRAL,NONE,PACIFIC AV / STOCKTON ST,-122.408433097293,37.7967039278214,"(37.7967039278214, -122.408433097293)",3126270007021
031230638,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Sunday,10/19/2003,15:30,PARK,"ARREST, CITED",1000 Block of FULTON ST,-122.434068008938,37.7774377381731,"(37.7774377381731, -122.434068008938)",3123063807020
030579752,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,05/12/2003,09:30,INGLESIDE,NONE,1500 Block of SUNNYDALE AV,-122.417107986993,37.7122561827524,"(37.7122561827524, -122.417107986993)",3057975207041
030474384,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Wednesday,04/23/2003,06:00,NORTHERN,"ARREST, CITED",POLK ST / BUSH ST,-122.420307355728,37.7886989511418,"(37.7886989511418, -122.420307355728)",3047438413060
031300021,VEHICLE THEFT,STOLEN TRUCK,Tuesday,11/04/2003,12:00,BAYVIEW,NONE,1700 Block of REVERE AV,-122.392775772337,37.7330781710011,"(37.7330781710011, -122.392775772337)",3130002107025
031223962,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,10/17/2003,11:30,CENTRAL,NONE,CALIFORNIA ST / STOCKTON ST,-122.407539774364,37.7922491772349,"(37.7922491772349, -122.407539774364)",3122396207041
030402965,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Sunday,04/06/2003,10:30,BAYVIEW,NONE,1300 Block of CARROLL AV,-122.388747588611,37.7222889213478,"(37.7222889213478, -122.388747588611)",3040296507055
